"question","option_a","option_b","option_c","option_d","answer","explanation"
"You need to design a DynamoDB table to store user profile data, including username, email, and user ID. How would you structure the primary key?","Use email as the partition key and username as the sort key.","Use username as the partition key and email as the sort key.","Use a composite key with username and email as the partition key.","Use userID as the partition key.","D","Use userID as the partition key.
 The userID is unique for each user and ensures that each item can be retrieved directly and efficiently."
"You have a table with millions of items. You need to retrieve all items where the status attribute is 'active'. What DynamoDB operation would you use?","Use the Query operation.","Use the GetItem operation.","Use the UpdateItem operation.","Use the Scan operation.","D","Use the Scan operation.
 A Scan operation examines every item in the table to find all items with the specified attribute value, but it’s less efficient than a query."
"You need to ensure that the email attribute is unique across all items in the user table. How would you enforce this uniqueness in DynamoDB?","Use a local secondary index (LSI) with email as the sort key.","Use a global secondary index (GSI) with email as the sort key.","Use a global secondary index (GSI) with email as the partition key.","Use a composite primary key with email as the partition key.","C","Use a global secondary index (GSI) with email as the partition key.
 A GSI with email as the partition key ensures that emails are unique across the table."
"You need to store time-series data for sensor readings with each reading having a timestamp. How would you structure the table’s primary key?","Use sensorID as the partition key and sensor reading as the sort key.","Use timestamp as the partition key and sensorID as the sort key.","Use sensorID and timestamp as the partition key and sensor reading as the sort key.","Use sensorID as the partition key and timestamp as the sort key.","D","Use sensorID as the partition key and timestamp as the sort key.
 This allows you to efficiently retrieve all readings for a specific sensor ordered by time."
"You want to back up your DynamoDB table daily. Which feature would you use?","Use Amazon S3 to store daily snapshots of your DynamoDB table.","Configure AWS CloudTrail to log all DynamoDB table operations, which can be used for auditing and recovery purposes.","Use DynamoDB Global Tables to replicate your DynamoDB table across multiple regions, providing a form of disaster recovery.","Use DynamoDB’s On-Demand Backup and Restore to create full backups of your tables for data recovery.","D","Use DynamoDB’s On-Demand Backup and Restore.
 This feature allows you to create full backups of your tables for data recovery."
"Your application requires read and write operations to be processed within a few milliseconds. How would you configure DynamoDB for this requirement?","Use DynamoDB Global Tables to distribute data across multiple regions.","Enable DynamoDB Accelerator (DAX) to cache frequently accessed data.","Utilize DynamoDB Streams to process data asynchronously.","Use provisioned throughput with sufficient read and write capacity units.","D","Use provisioned throughput with sufficient read and write capacity units.
 Ensuring enough capacity units helps maintain low latency for read and write operations."
"You need to retrieve items from a DynamoDB table where the partition key is known but the sort key is only partially known. Which query option would you use?","Use the between condition in a query.","Use the equals condition in a query.","Use the contains condition in a query.","Use the begins_with condition in a query.","D","Use the begins_with condition in a query.
 This allows you to query items where the sort key starts with a specific prefix."
"You need to ensure that your DynamoDB table is available in multiple regions for disaster recovery. Which feature would you use?","Use DynamoDB Multi-Region Replication.","Use DynamoDB Global Tables.","Configure DynamoDB backups to a different region.","Use DynamoDB Streams to replicate data to a different region.","B","Use DynamoDB Global Tables.
 Global Tables automatically replicate your data across multiple regions."
"You need to temporarily increase the read capacity of your table to handle a traffic spike. What would you do?","Use the UpdateTable operation to increase the provisioned read capacity.","Use the DynamoDB Streams feature to capture all table updates and process them in a separate service.","Use the DynamoDB Local service to simulate the production environment and test your application's performance.","Use the DynamoDB Accelerator (DAX) to cache frequently accessed data and improve read performance.","A","Use the UpdateTable operation to increase the provisioned read capacity.
 This allows you to handle increased read traffic by temporarily boosting the read capacity."
"Your application requires strongly consistent reads. How would you configure your DynamoDB read operations?","Set the ReadConsistencyMode parameter to 'STRONG'.","Enable DynamoDB Streams for the table.","Use the GetItem API with the ConsistentRead parameter set to false.","Set the ReadCapacityUnits to a high value.","A","Set the ConsistentRead parameter to true.
 This ensures that the read operation returns the most up-to-date data."
