"question","option_a","option_b","option_c","option_d","answer","explanation"
"What is the maximum execution time for an AWS Lambda function?","5 minutes","30 minutes","15 minutes","60 minutes","C","15 minutes.
 AWS Lambda functions have a maximum execution time limit of 15 minutes. Any execution exceeding this limit will be terminated."
"What is the maximum memory allocation for an AWS Lambda function?","10 GB","256 MB","512 MB","1 GB","A","10 GB.
 AWS Lambda functions can be allocated up to a maximum of 10 GB of memory. This memory allocation affects the performance and resource usage of the function.
 What is the minimum memory allocation for an AWS Lambda function?"
"What is the maximum size of the deployment package for an AWS Lambda function?","10 MB (compressed)","100 MB (compressed)","50 MB (compressed)","25 MB (uncompressed)","C","50 MB (compressed).
 Explanation: The deployment package for an AWS Lambda function, which includes the function code and any dependencies, must be less than 50 MB when compressed. This size limitation ensures efficient deployment and execution."
"What is the maximum size of the uncompressed deployment package for an AWS Lambda function?","50 MB","100 MB","250 MB","500 MB","C","250 MB.
 While the compressed deployment package must be less than 50 MB, the uncompressed size of the package can be up to 250 MB. This allows for larger dependencies or assets within the function."
"What is the maximum size of the payload that can be passed to an AWS Lambda function via synchronous invocation?","1 MB","10 MB","6 MB","256 KB","C","6 MB.
 When invoking an AWS Lambda function synchronously (e.g., via API Gateway), the payload size is limited to 6 MB. Larger payloads will result in a 'PayloadTooLarge' error."
"What is the maximum duration for a single request/response round-trip for an AWS Lambda function invoked synchronously?","15 seconds","60 seconds","30 seconds","1 minute","C","30 seconds.
 The entire request/response round-trip duration for a synchronous invocation of an AWS Lambda function cannot exceed 30 seconds. This includes the time taken for processing by the function."
"What is the maximum number of concurrent executions allowed for an AWS Lambda function (per account)?","A. 1000","B. 10,000","C. 50","D. Account-level limit varies","D","Account-level limit varies.
 The maximum number of concurrent executions allowed for an AWS Lambda function varies depending on the AWS account�s limits. It�s important to monitor and adjust this limit as needed to avoid throttling."
"What is the minimum billing duration for an AWS Lambda function invocation?","1 second","10 seconds","1 millisecond","100 milliseconds","D","100 milliseconds.
 Explanation: AWS Lambda functions are billed in increments of 100 milliseconds. Even if a function executes for a shorter duration, it will be rounded up to the nearest 100 milliseconds for billing purposes."
"What is the minimum granularity for AWS Lambda function invocation logs?","1 second","1 minute","10 milliseconds","1 millisecond","D","1 millisecond.
 Explanation: AWS Lambda provides detailed invocation logs with a granularity of 1 millisecond. This allows developers to accurately track the performance and execution times of their functions."
"What is the maximum number of environment variables that can be configured for an AWS Lambda function?","500","1000","2000","Unlimited","B","1000.
 AWS Lambda allows you to configure up to 1000 environment variables for a function. These variables can be used to pass configuration settings or sensitive information to the function."
